client,round,loss,accuracy
l_curve_5,1,0.7284968495368958,0.3333333432674408
l_curve_5,2,0.7260961532592773,0.3333333432674408
l_curve_5,3,0.7237173914909363,0.3333333432674408
l_curve_5,4,0.7214317321777344,0.3333333432674408
l_curve_5,5,0.7191875576972961,0.3333333432674408
l_curve_5,6,0.7169831395149231,0.3333333432674408
l_curve_5,7,0.71482914686203,0.3333333432674408
l_curve_5,8,0.7126938700675964,0.3333333432674408
l_curve_5,9,0.7106106877326965,0.3333333432674408
l_curve_5,10,0.7085468173027039,0.3333333432674408
l_curve_5,11,0.7065244317054749,0.3333333432674408
l_curve_5,12,0.7045214176177979,0.375
l_curve_5,13,0.7025244832038879,0.375
l_curve_5,14,0.7005704045295715,0.375
l_curve_5,15,0.6986153721809387,0.4166666567325592
l_curve_5,16,0.6966970562934875,0.4166666567325592
l_curve_5,17,0.6948361396789551,0.4583333432674408
l_curve_5,18,0.6929826140403748,0.5
l_curve_5,19,0.6911410689353943,0.5
l_curve_5,20,0.6892961859703064,0.5
l_curve_5,21,0.6874561905860901,0.5
l_curve_5,22,0.6856436729431152,0.5
l_curve_5,23,0.6838374137878418,0.5416666865348816
l_curve_5,24,0.682048499584198,0.5416666865348816
l_curve_5,25,0.6802535653114319,0.5833333134651184
l_curve_5,26,0.6784569621086121,0.5833333134651184
l_curve_5,27,0.6766324639320374,0.75
l_curve_5,28,0.6748087406158447,0.75
l_curve_5,29,0.6729920506477356,0.7916666865348816
l_curve_5,30,0.6711673736572266,0.8333333134651184
l_curve_5,31,0.6693299412727356,0.8333333134651184
l_curve_5,32,0.667471706867218,0.7916666865348816
l_curve_5,33,0.6656120419502258,0.7916666865348816
l_curve_5,34,0.6637356281280518,0.7916666865348816
l_curve_5,35,0.6618319153785706,0.7916666865348816
l_curve_5,36,0.6599032282829285,0.8333333134651184
l_curve_5,37,0.6579487919807434,0.8333333134651184
l_curve_5,38,0.655984103679657,0.8333333134651184
l_curve_5,39,0.6539913415908813,0.8333333134651184
l_curve_5,40,0.6519778370857239,0.8333333134651184
l_curve_5,41,0.649925947189331,0.8333333134651184
l_curve_5,42,0.6478703618049622,0.75
l_curve_5,43,0.645772397518158,0.75
l_curve_5,44,0.6436598300933838,0.75
l_curve_5,45,0.6415173411369324,0.75
l_curve_5,46,0.6393529176712036,0.75
l_curve_5,47,0.6371482014656067,0.75
l_curve_5,48,0.6349067091941833,0.75
l_curve_5,49,0.6326613426208496,0.75
l_curve_5,50,0.6303913593292236,0.75
l_curve_5,51,0.6280887126922607,0.75
l_curve_5,52,0.6257664561271667,0.75
l_curve_5,53,0.6234332919120789,0.75
l_curve_5,54,0.6210604310035706,0.75
l_curve_5,55,0.6186797618865967,0.75
l_curve_5,56,0.6162781119346619,0.75
l_curve_5,57,0.6138426661491394,0.75
l_curve_5,58,0.6113885045051575,0.75
l_curve_5,59,0.6089269518852234,0.75
l_curve_5,60,0.6064442992210388,0.75
l_curve_5,61,0.6039466857910156,0.75
l_curve_5,62,0.6014350056648254,0.75
l_curve_5,63,0.5989030003547668,0.75
l_curve_5,64,0.5963446497917175,0.75
l_curve_5,65,0.5937896370887756,0.75
l_curve_5,66,0.5912159085273743,0.75
l_curve_5,67,0.5886324644088745,0.75
l_curve_5,68,0.5860490202903748,0.75
l_curve_5,69,0.583465576171875,0.75
l_curve_5,70,0.5808612108230591,0.75
l_curve_5,71,0.5782690644264221,0.75
l_curve_5,72,0.5756571292877197,0.75
l_curve_5,73,0.5730549097061157,0.75
l_curve_5,74,0.5704505443572998,0.75
l_curve_5,75,0.5678470730781555,0.75
l_curve_5,76,0.5652391910552979,0.75
l_curve_5,77,0.5626234412193298,0.75
l_curve_5,78,0.5600075721740723,0.75
l_curve_5,79,0.5574076771736145,0.75
l_curve_5,80,0.5548097491264343,0.75
l_curve_5,81,0.5522300601005554,0.75
l_curve_5,82,0.5496417880058289,0.75
l_curve_5,83,0.5470688343048096,0.75
l_curve_5,84,0.5445278882980347,0.75
l_curve_5,85,0.5419701933860779,0.75
l_curve_5,86,0.5394405722618103,0.75
l_curve_5,87,0.5369055867195129,0.75
l_curve_5,88,0.5343955755233765,0.75
l_curve_5,89,0.5319105386734009,0.75
l_curve_5,90,0.529429018497467,0.75
l_curve_5,91,0.5269483923912048,0.75
l_curve_5,92,0.5245046615600586,0.75
l_curve_5,93,0.522071123123169,0.75
l_curve_5,94,0.5196511149406433,0.75
l_curve_5,95,0.5172380208969116,0.75
l_curve_5,96,0.5148410797119141,0.75
l_curve_5,97,0.5124756097793579,0.75
l_curve_5,98,0.5101282596588135,0.75
l_curve_5,99,0.507801353931427,0.75
l_curve_5,100,0.5054944157600403,0.75
l_curve_5,101,0.5032184720039368,0.75
l_curve_5,102,0.5009461045265198,0.75
l_curve_5,103,0.4987034797668457,0.75
l_curve_5,104,0.49649104475975037,0.75
l_curve_5,105,0.49428996443748474,0.75
