client,round,loss,accuracy
nofed,1,0.625762939453125,0.625
nofed,2,0.6160826086997986,0.640625
nofed,3,0.607246458530426,0.6875
nofed,4,0.5995028018951416,0.6875
nofed,5,0.5927366018295288,0.6875
nofed,6,0.5857816934585571,0.6875
nofed,7,0.5797117948532104,0.703125
nofed,8,0.5740386247634888,0.703125
nofed,9,0.5685904026031494,0.6875
nofed,10,0.5634159445762634,0.671875
nofed,11,0.5593430995941162,0.65625
nofed,12,0.5546147227287292,0.65625
nofed,13,0.5503846406936646,0.65625
nofed,14,0.5461770296096802,0.640625
nofed,15,0.5419373512268066,0.640625
nofed,16,0.5382199287414551,0.65625
nofed,17,0.534620463848114,0.65625
nofed,18,0.531256914138794,0.65625
nofed,19,0.5276411175727844,0.65625
nofed,20,0.5244926810264587,0.65625
nofed,21,0.5212075114250183,0.65625
nofed,22,0.517959475517273,0.65625
nofed,23,0.5152016878128052,0.671875
nofed,24,0.512077808380127,0.6875
nofed,25,0.5090229511260986,0.703125
nofed,26,0.5063353776931763,0.703125
nofed,27,0.50397789478302,0.703125
nofed,28,0.5014355182647705,0.703125
nofed,29,0.4993184208869934,0.703125
nofed,30,0.4965832829475403,0.703125
nofed,31,0.49436572194099426,0.703125
nofed,32,0.4923206567764282,0.703125
nofed,33,0.48997366428375244,0.703125
nofed,34,0.4875743091106415,0.703125
nofed,35,0.48562565445899963,0.703125
nofed,36,0.48326611518859863,0.703125
nofed,37,0.4814673662185669,0.703125
nofed,38,0.479952871799469,0.703125
nofed,39,0.4778665006160736,0.703125
nofed,40,0.4762565791606903,0.703125
nofed,41,0.47496041655540466,0.703125
nofed,42,0.4730450212955475,0.703125
nofed,43,0.4708886444568634,0.703125
nofed,44,0.46889349818229675,0.703125
nofed,45,0.46776968240737915,0.703125
nofed,46,0.4661237597465515,0.703125
nofed,47,0.46448132395744324,0.71875
nofed,48,0.4628148078918457,0.71875
nofed,49,0.4614926278591156,0.71875
nofed,50,0.45979493856430054,0.71875
nofed,51,0.45845913887023926,0.71875
nofed,52,0.45660844445228577,0.71875
nofed,53,0.45490866899490356,0.71875
nofed,54,0.453605592250824,0.71875
nofed,55,0.45218023657798767,0.71875
nofed,56,0.4510902762413025,0.71875
nofed,57,0.4499132037162781,0.71875
nofed,58,0.44833242893218994,0.71875
nofed,59,0.44639351963996887,0.71875
nofed,60,0.44501927495002747,0.71875
nofed,61,0.4436008930206299,0.71875
nofed,62,0.44246184825897217,0.71875
nofed,63,0.4411352574825287,0.71875
nofed,64,0.4400028884410858,0.71875
nofed,65,0.4389592707157135,0.71875
nofed,66,0.4372153878211975,0.71875
nofed,67,0.436013400554657,0.71875
nofed,68,0.43495360016822815,0.71875
nofed,69,0.43352481722831726,0.71875
nofed,70,0.43199414014816284,0.71875
nofed,71,0.4305170178413391,0.71875
