client,round,loss,accuracy
l_curve_1,1,0.6672435402870178,0.5
l_curve_1,2,0.6642009615898132,0.5
l_curve_1,3,0.6611804962158203,0.5
l_curve_1,4,0.6581830978393555,0.5
l_curve_1,5,0.6552098989486694,0.5
l_curve_1,6,0.6522618532180786,0.5
l_curve_1,7,0.6493399143218994,0.5
l_curve_1,8,0.6464451551437378,0.5
l_curve_1,9,0.6435783505439758,0.5
l_curve_1,10,0.6407405138015747,0.5
l_curve_1,11,0.6379327178001404,0.5
l_curve_1,12,0.6351558566093445,0.5
l_curve_1,13,0.6324108242988586,0.5
l_curve_1,14,0.6296982765197754,0.5
l_curve_1,15,0.627018928527832,0.5
l_curve_1,16,0.6243730783462524,0.5
l_curve_1,17,0.62176114320755,0.5
l_curve_1,18,0.6191831827163696,0.5
l_curve_1,19,0.6166394352912903,0.625
l_curve_1,20,0.6141295433044434,0.625
l_curve_1,21,0.6116535663604736,0.625
l_curve_1,22,0.6092113256454468,0.625
l_curve_1,23,0.6068027019500732,0.625
l_curve_1,24,0.6044273972511292,0.625
l_curve_1,25,0.602085292339325,0.625
l_curve_1,26,0.5997759103775024,0.625
l_curve_1,27,0.5974991917610168,0.625
l_curve_1,28,0.5952545404434204,0.625
l_curve_1,29,0.5930417776107788,0.75
l_curve_1,30,0.5908604860305786,0.75
l_curve_1,31,0.5887100696563721,0.75
l_curve_1,32,0.586590051651001,0.75
l_curve_1,33,0.5845000147819519,0.75
l_curve_1,34,0.5824393033981323,0.75
l_curve_1,35,0.5804075002670288,0.75
l_curve_1,36,0.5784038305282593,0.75
l_curve_1,37,0.576427698135376,0.75
l_curve_1,38,0.5744785070419312,0.75
l_curve_1,39,0.5725557804107666,0.75
l_curve_1,40,0.5706587433815002,0.75
l_curve_1,41,0.5687867999076843,0.75
l_curve_1,42,0.5669394731521606,0.75
l_curve_1,43,0.5651160478591919,0.75
l_curve_1,44,0.5633158087730408,0.75
l_curve_1,45,0.5615382194519043,0.75
l_curve_1,46,0.559782862663269,0.75
l_curve_1,47,0.5580488443374634,0.75
l_curve_1,48,0.5563358068466187,0.75
l_curve_1,49,0.5546430945396423,0.75
l_curve_1,50,0.5529701113700867,0.75
l_curve_1,51,0.5513162612915039,0.75
l_curve_1,52,0.5496811270713806,0.75
l_curve_1,53,0.548064112663269,0.75
l_curve_1,54,0.5464646220207214,0.75
l_curve_1,55,0.5448821187019348,0.75
l_curve_1,56,0.5433162450790405,0.75
l_curve_1,57,0.541766345500946,0.75
l_curve_1,58,0.5402320027351379,0.75
l_curve_1,59,0.5387127995491028,0.75
l_curve_1,60,0.5372081398963928,0.75
l_curve_1,61,0.535717785358429,0.75
l_curve_1,62,0.5342410802841187,0.75
l_curve_1,63,0.5327779054641724,0.75
l_curve_1,64,0.5313276052474976,0.75
l_curve_1,65,0.5298899412155151,0.75
l_curve_1,66,0.5284643769264221,0.75
l_curve_1,67,0.5270506739616394,0.75
l_curve_1,68,0.5256485939025879,0.75
l_curve_1,69,0.5242576003074646,0.75
l_curve_1,70,0.5228775143623352,0.75
l_curve_1,71,0.521507978439331,0.75
l_curve_1,72,0.520148515701294,0.75
l_curve_1,73,0.5187991857528687,0.75
l_curve_1,74,0.517459511756897,0.75
l_curve_1,75,0.5161292552947998,0.875
l_curve_1,76,0.514808177947998,0.875
l_curve_1,77,0.5134961605072021,0.875
l_curve_1,78,0.5121927857398987,0.875
l_curve_1,79,0.5108979344367981,0.875
l_curve_1,80,0.5096113681793213,0.875
l_curve_1,81,0.5083329081535339,0.875
l_curve_1,82,0.5070623755455017,0.875
l_curve_1,83,0.5057995319366455,0.875
l_curve_1,84,0.504544198513031,0.875
l_curve_1,85,0.5032963156700134,0.875
l_curve_1,86,0.5020556449890137,0.875
l_curve_1,87,0.5008219480514526,0.875
l_curve_1,88,0.4995952546596527,0.875
l_curve_1,89,0.49837526679039,0.875
l_curve_1,90,0.4971618950366974,0.875
l_curve_1,91,0.49595507979393005,0.875
l_curve_1,92,0.4947546720504761,0.875
l_curve_1,93,0.4935604929924011,0.875
l_curve_1,94,0.49237242341041565,0.875
l_curve_1,95,0.49119049310684204,0.875
l_curve_1,96,0.4900144338607788,0.875
l_curve_1,97,0.4888443052768707,0.875
l_curve_1,98,0.48767995834350586,0.875
l_curve_1,99,0.4865211248397827,0.875
l_curve_1,100,0.48536792397499084,0.875
l_curve_1,101,0.48422032594680786,0.875
l_curve_1,102,0.48307812213897705,0.875
l_curve_1,103,0.4819413125514984,0.875
l_curve_1,104,0.4808098077774048,0.875
l_curve_1,105,0.4796835780143738,0.875
l_curve_1,106,0.4785624146461487,0.875
l_curve_1,107,0.47744643688201904,0.875
l_curve_1,108,0.4763354957103729,0.875
l_curve_1,109,0.47522953152656555,0.875
l_curve_1,110,0.47412851452827454,0.875
l_curve_1,111,0.4730323851108551,0.875
l_curve_1,112,0.471941202878952,0.875
l_curve_1,113,0.4708547592163086,0.875
l_curve_1,114,0.46977317333221436,0.875
l_curve_1,115,0.468696266412735,0.875
l_curve_1,116,0.4676239788532257,0.875
l_curve_1,117,0.46655645966529846,0.875
l_curve_1,118,0.4654935896396637,0.875
l_curve_1,119,0.46443527936935425,0.875
l_curve_1,120,0.4633815288543701,0.875
l_curve_1,121,0.4623323976993561,0.875
l_curve_1,122,0.4612877368927002,0.875
l_curve_1,123,0.46024763584136963,0.875
l_curve_1,124,0.45921188592910767,0.875
l_curve_1,125,0.45818060636520386,0.875
l_curve_1,126,0.4571537673473358,0.875
l_curve_1,127,0.45613133907318115,0.875
l_curve_1,128,0.4551132321357727,0.875
l_curve_1,129,0.4540995955467224,0.875
l_curve_1,130,0.45309022068977356,0.875
l_curve_1,131,0.45208513736724854,0.875
l_curve_1,132,0.4510844051837921,0.875
l_curve_1,133,0.45008790493011475,0.875
l_curve_1,134,0.4490956962108612,0.875
l_curve_1,135,0.4481077790260315,0.875
l_curve_1,136,0.44712406396865845,0.875
l_curve_1,137,0.44614461064338684,0.875
l_curve_1,138,0.4451693892478943,0.875
l_curve_1,139,0.44419825077056885,0.875
l_curve_1,140,0.44323134422302246,0.875
l_curve_1,141,0.44226858019828796,0.875
l_curve_1,142,0.44131001830101013,0.875
l_curve_1,143,0.440355509519577,0.875
l_curve_1,144,0.4394051730632782,0.875
l_curve_1,145,0.43845897912979126,0.875
l_curve_1,146,0.43751686811447144,0.875
l_curve_1,147,0.43657881021499634,0.875
l_curve_1,148,0.43564480543136597,0.875
l_curve_1,149,0.4347148835659027,0.875
l_curve_1,150,0.4337890148162842,0.875
l_curve_1,151,0.4328671991825104,0.875
l_curve_1,152,0.4319493770599365,0.875
l_curve_1,153,0.43103551864624023,0.875
l_curve_1,154,0.4301256537437439,0.875
l_curve_1,155,0.4292198419570923,0.875
l_curve_1,156,0.42831793427467346,0.875
l_curve_1,157,0.4274199903011322,0.875
l_curve_1,158,0.4265260696411133,0.875
l_curve_1,159,0.42563605308532715,0.875
l_curve_1,160,0.4247499108314514,0.875
l_curve_1,161,0.42386776208877563,0.875
l_curve_1,162,0.4229894280433655,0.875
l_curve_1,163,0.4221150577068329,0.875
l_curve_1,164,0.4212445616722107,0.875
l_curve_1,165,0.4203779101371765,0.875
l_curve_1,166,0.41951513290405273,0.875
l_curve_1,167,0.4186561703681946,0.875
l_curve_1,168,0.41780105233192444,0.875
l_curve_1,169,0.4169498085975647,0.875
l_curve_1,170,0.4161023497581482,0.875
l_curve_1,171,0.4152587056159973,0.875
l_curve_1,172,0.4144188463687897,0.875
l_curve_1,173,0.41358277201652527,0.875
l_curve_1,174,0.4127504825592041,0.875
l_curve_1,175,0.41192197799682617,0.875
l_curve_1,176,0.4110971987247467,0.875
l_curve_1,177,0.4102761745452881,0.875
l_curve_1,178,0.4094589650630951,0.875
l_curve_1,179,0.40864548087120056,0.875
l_curve_1,180,0.40783560276031494,0.875
l_curve_1,181,0.40702953934669495,0.875
l_curve_1,182,0.40622711181640625,0.875
l_curve_1,183,0.4054282605648041,0.875
l_curve_1,184,0.4046332836151123,0.875
l_curve_1,185,0.4038418233394623,0.875
l_curve_1,186,0.4030540883541107,0.875
l_curve_1,187,0.40226995944976807,0.875
l_curve_1,188,0.4014894962310791,0.875
l_curve_1,189,0.40071260929107666,0.875
l_curve_1,190,0.3999394178390503,0.875
l_curve_1,191,0.3991697132587433,0.875
l_curve_1,192,0.3984036445617676,0.875
l_curve_1,193,0.3976411819458008,0.875
l_curve_1,194,0.3968823254108429,0.875
l_curve_1,195,0.39612701535224915,0.875
l_curve_1,196,0.39537525177001953,0.875
l_curve_1,197,0.39462703466415405,0.875
l_curve_1,198,0.3938823640346527,0.875
l_curve_1,199,0.3931412100791931,0.875
l_curve_1,200,0.39240357279777527,0.875
l_curve_1,201,0.39166948199272156,0.875
l_curve_1,202,0.3909389078617096,0.875
l_curve_1,203,0.3902117609977722,0.875
l_curve_1,204,0.3894881308078766,0.875
l_curve_1,205,0.38876795768737793,0.875
l_curve_1,206,0.38805127143859863,0.875
l_curve_1,207,0.38733798265457153,0.875
l_curve_1,208,0.3866282105445862,0.875
l_curve_1,209,0.385921835899353,0.875
l_curve_1,210,0.38521891832351685,0.875
l_curve_1,211,0.38451939821243286,0.875
l_curve_1,212,0.3838232755661011,0.875
l_curve_1,213,0.38313060998916626,0.875
l_curve_1,214,0.3824414014816284,0.875
l_curve_1,215,0.38175544142723083,0.875
l_curve_1,216,0.381072998046875,0.875
l_curve_1,217,0.3803938627243042,0.875
l_curve_1,218,0.37971818447113037,0.875
l_curve_1,219,0.3790457844734192,0.875
l_curve_1,220,0.3783767819404602,0.875
l_curve_1,221,0.37771111726760864,0.875
l_curve_1,222,0.3770487904548645,0.875
l_curve_1,223,0.3763898015022278,0.875
l_curve_1,224,0.3757341206073761,0.875
l_curve_1,225,0.37508174777030945,0.875
l_curve_1,226,0.3744327127933502,0.875
l_curve_1,227,0.3737870454788208,0.875
l_curve_1,228,0.3731445074081421,0.875
l_curve_1,229,0.37250539660453796,0.875
l_curve_1,230,0.3718695044517517,0.875
l_curve_1,231,0.37123697996139526,0.875
l_curve_1,232,0.3706076443195343,0.875
l_curve_1,233,0.369981586933136,0.875
l_curve_1,234,0.36935877799987793,0.875
l_curve_1,235,0.3687392473220825,0.875
l_curve_1,236,0.3681229054927826,0.875
l_curve_1,237,0.3675098419189453,0.875
l_curve_1,238,0.36690008640289307,0.875
l_curve_1,239,0.36629346013069153,0.875
l_curve_1,240,0.36569011211395264,0.875
l_curve_1,241,0.36508989334106445,0.875
l_curve_1,242,0.3644929528236389,0.875
l_curve_1,243,0.36389923095703125,0.875
l_curve_1,244,0.3633086085319519,0.875
l_curve_1,245,0.3627212643623352,0.875
l_curve_1,246,0.36213696002960205,0.875
l_curve_1,247,0.36155590415000916,0.875
